메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
치즈멸치볼,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['밥 2공기', '잔멸치 50g']",20
치즈밥피자,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['밥 2공기', '계란 2개', '피자치즈 적당량']",30
케첩볶음밥,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['찬밥(찬것) 2공기', '양파 1개', '햄 40g', '토마토케첩 5큰술']",25
파프리카볶음밥,"['밥', '죽', '스프']",퓨전,메인요리,쉬움,"['파프리카 3개', '찬밥 1과1/2공기']",60
퓨전호박죽,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,['단호박 1개'],30
햄김치롤,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['스팸 1통', '김치 10잎', '베이컨 10장']",30
허브비빔밥,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['미츠바 50g', '레드치커리 30g', '겨자잎 30g', '쌀 2컵']",30
치즈국,['국'],퓨전,메인요리,매우 쉬움,"['햄 20g', '게맛살 20g', '양송이버섯 2개', '우유 200cc', '치즈 적당량']",20
돼지갈비고추장케첩조림,['조림'],퓨전,메인요리,매우 쉬움,['돼지갈비 400g'],30
떡케첩조림,['조림'],퓨전,메인요리,매우 쉬움,"['가래떡 1가래', '토마토케첩 4큰술']",30
베이컨떡말이,['조림'],퓨전,메인요리,매우 쉬움,"['가래떡 2개', '베이컨 8장']",30
양배추말이케첩조림,['조림'],퓨전,메인요리,매우 쉬움,"['양배추 150g', '다진쇠고기(등심 또는 사태) 200g']",30
감자프라이팬구이,['구이'],퓨전,메인요리,매우 쉬움,['감자 1개'],30
계란오븐구이,['구이'],퓨전,메인요리,매우 쉬움,"['계란 3개', '수제햄 2개']",30
김치드레싱오징어말이,['구이'],퓨전,메인요리,매우 쉬움,"['오징어 1마리', '배추김치 100g']",60
김치말이미트로프,['구이'],퓨전,메인요리,쉬움,"['쇠고기(안심) 200g', '밥 1공기', '배추김치 1/2포기']",60
꼬막오븐구이,['구이'],퓨전,메인요리,쉬움,"['꼬막 300g', '다진청고추 1/2작은술', '참기름 1/2작은술']",60
단호박구이,['구이'],퓨전,메인요리,매우 쉬움,['단호박 1/4개'],20
단호박베이컨구이,['구이'],퓨전,메인요리,매우 쉬움,['단호박 1/2통'],30
대파미트볼꼬치,['구이'],퓨전,메인요리,매우 쉬움,"['대파 1대', '쇠고기(간것) 300g']",20
돼지고기스테이크와구운사과,['구이'],퓨전,메인요리,매우 쉬움,"['사과 1/2개', '돼지고기(로스용) 300g']",30
마늘크림소스를곁들인대구말이,['구이'],퓨전,메인요리,쉬움,['대구살 1마리'],60
