메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
가지치즈튀김,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['가지 1개', '치즈 적당량']",30
감자&고구마치즈옹심이,"['튀김', '커틀릿']",퓨전,메인요리,쉬움,"['감자 1개', '고구마 1개']",60
감자마늘볼,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['감자 2개', '마늘 20톨']",30
게맛살치즈말이튀김,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['김 2장', '게맛살 4개']",25
과일돈까스와소스,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,['돼지고기(두께1.5cm) 1조각'],30
단호박커틀릿,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['단호박 1/2개', '안심(안심) 500g']",60
떡치즈크로켓,"['튀김', '커틀릿']",퓨전,메인요리,쉬움,"['떡(떡볶이) 50g', '치즈(슬라이스) 4장', '감자 2개']",60
만두피치즈스틱,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['만두피 10장', '모짜렐라치즈(덩어리) 100g']",20
버섯롤커틀릿,"['튀김', '커틀릿']",퓨전,메인요리,쉬움,"['돼지고기(안심) 300g', '표고버섯 4장', '팽이버섯 1개', '새송이버섯 1개', '토마토케첩/설탕/버터/밀가루 2큰술씩']",60
양파쌈파이,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['양파 5개', '만두피 30장']",30
어묵계란말이,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,['어묵 100g'],30
요거트크림새우,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,['새우 300g'],30
참치김말이튀김,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['참치(스타키스트참치) 1캔', '김 1장']",30
참치김치말이,"['튀김', '커틀릿']",퓨전,메인요리,매우 쉬움,"['스타키스트참치 1개', '김치 1/2포기']",25
춘권피채소말이튀김,"['튀김', '커틀릿']",퓨전,메인요리,쉬움,['춘권피 10장'],60
케이준입힌갈치와이탈리안드레싱,"['튀김', '커틀릿']",퓨전,메인요리,쉬움,['갈치 1마리'],60
단호박매운해물찜,['찜'],퓨전,메인요리,쉬움,"['단호박 1개', '오징어 1마리', '칵테일새우 10마리', '조갯살 100g']",60
돼지갈비레몬찜,['찜'],퓨전,메인요리,매우 쉬움,['돼지갈비 500g'],60
버섯호일찜,['찜'],퓨전,메인요리,매우 쉬움,"['양송이버섯 6개', '느타리버섯 60g', '표고버섯 4개']",20
삼겹살레몬찜,['찜'],퓨전,메인요리,매우 쉬움,['돼지고기(삼겹살) 1kg'],60
냉고기쌈,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['쇠고기 400g', '무순 50g', '양배추 70g', '당근 50g']",20
된장소스와 채소샐러드,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,"['상추 2장', '양상추 2장', '된장 2큰술', '사과 1/4쪽', '배 1/4쪽']",20
두부드레싱과 채소샐러드,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,"['상추잎 10장', '두부 1/2모', '적양배추잎 5장']",30
두부허브샐러드,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,"['두부 1/2모', '엔다이브 20g', '적치커리 20g', '토마토 1개']",30
레이즌엔다이브,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,['엔다이브 12장'],30
메추리알카나페,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['메추리알 6쪽', '식빵 2쪽']",30
발사믹드레싱양파샐러드,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,['양파 2개'],30
배깨초무침,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,"['배 1/2개', '오이 1/2개']",20
부추올리브오일무침,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,"['부추 100g', '올리브오일 3큰술']",20
수삼치즈샐러드,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,"['수삼 1뿌리', '크림치즈 3큰술']",20
어묵샐러드,"['나물', '생채', '샐러드']",퓨전,반찬,매우 쉬움,['어묵 100g'],20
연어채소채말이,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,['연어(훈제한것) 100g'],30
와사비문어숙회,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['와사비 1작은술', '문어다리 4개']",30
와사비연어샐러드,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['건포도 40g', '훈제연어 70g', '양상추 30g']",30
와사비크림치즈와채소스틱,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['당근 1/2개', '오이 1/2개']",20
참치샐러드,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,['참치살(냉동) 100g'],30
참치샐러리스틱,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['샐러리 4줄기', '참치통조림 1/2캔']",20
참치회무침,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,['참치회 300g'],20
참치회무침,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,['참치회 300g'],15
춘권피건강샐러드,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['춘권피 4장', '각종 채소류 적당량']",30
치즈파강회,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['실파 50g', '하이포크팜햄 20g']",30
치킨밀쌈,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['닭가슴살 300g', '라이스페이퍼 8장']",30
피스타치오샐러드,"['나물', '생채', '샐러드']",퓨전,메인요리,매우 쉬움,"['샐러리 50g', '피스타치오 50g']",20
고구마전피자,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,['고구마 2개'],30
두부카나페,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,"['두부 200g', '치즈 2장', '방울토마토 3개']",30
레이즌카나페,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,"['건포도 250g', '브리치즈 1팩']",30
마늘꿀마리네이드,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,['마늘 20톨'],30
베이컨떡말이조림,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,"['떡볶이떡 1/2봉지', '베이컨 1봉지']",30
자장떡볶이,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,"['떡볶이떡 70g', '어묵 50g', '춘장 1/2큰술']",20
치즈떡볶이,"['도시락', '간식']",퓨전,메인요리,매우 쉬움,"['가래떡 150g', '슬라이스치즈 2장']",30
과일 깍기,['후식'],퓨전,간식,매우 쉬움,"['오렌지 2개', '멜론 1/4통', '바나나 2개', '기타 제철 과일']",10
두유빙수,['후식'],퓨전,간식,쉬움,"['두유 300g', '팥 70g', '설탕 140g']",60
양갱,['후식'],퓨전,간식,매우 쉬움,"['[검은양갱]', '한천 15g', '물 4와1/2컵', '설탕 250g', '팥앙금 900g', '[완두양갱]', '한천 15g', '물 1/2컵', '설탕 250g', '완두앙금 900g']",30
초코밤범벅,['후식'],퓨전,간식,매우 쉬움,"['생밤 6알', '초콜릿 40g']",20
치즈사탕,['후식'],퓨전,간식,매우 쉬움,"['치즈 적당량', '잼 적당량']",30
콩국과일펀치,['후식'],퓨전,간식,매우 쉬움,"['콩국(메주콩500g', '생수약간) 1컵']",30
콩국젤리,['후식'],퓨전,간식,쉬움,"['콩국(메주콩100g', '생수1/3컵) 1컵', '통깨 약간', '잣 약간']",60
당근쨈,['양념장'],퓨전,반찬,매우 쉬움,['당근 2개'],30
유자드레싱,['양념장'],퓨전,반찬,매우 쉬움,"['유자청 1/2컵', '올리브오일 1/2컵']",10
과일찰떡카나페,"['떡', '한과']",퓨전,간식,매우 쉬움,"['시루떡(콩고물) 6조각', '단호박 1/4개']",20
깨찰빵,"['빵', '과자']",퓨전,간식,쉬움,"['타피오카전분 540g', '검은깨 1큰술', '강력분 120g', '계란 4개']",60
누룽지케이크,"['빵', '과자']",퓨전,간식,매우 쉬움,['밥 2공기'],30
삼색라이스케이크,"['빵', '과자']",퓨전,간식,매우 쉬움,['밥 2공기'],30
팥앙금빵,"['빵', '과자']",퓨전,간식,매우 쉬움,"['밀가루(중력분) 600g', '팥앙금 500g']",60
감주스,['음료'],퓨전,간식,매우 쉬움,"['홍시 1개', '우유 1컵']",10
귤주스,['음료'],퓨전,간식,매우 쉬움,"['귤 2개', '우유 1컵', '오렌지 주스 1/2컵']",10
딸기주스,['음료'],퓨전,간식,매우 쉬움,"['딸기 300g', '오렌지주스 1/2컵', '우유 1컵']",10
바나나주스,['음료'],퓨전,간식,매우 쉬움,"['바나나 1개', '파인애플통조림 2조각', '우유 1컵']",10
배주스,['음료'],퓨전,간식,매우 쉬움,"['배 1/2개', '우유 1컵', '사과주스 1/2컵']",10
사과주스,['음료'],퓨전,간식,매우 쉬움,"['사과 1/2개', '무순 50g', '당근 18g', '우유 1/2컵']",10
생토마토주스,['음료'],퓨전,간식,매우 쉬움,['토마토 2개'],10
요구르트두부주스,['음료'],퓨전,간식,매우 쉬움,['메주콩 200g'],10
자두주스,['음료'],퓨전,간식,매우 쉬움,"['자두 2개', '우유 1컵']",10
과일천사채국수,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['배 1/2개', '토마토 1개', '천사채 300g']",20
김치 파스타,"['만두', '면류']",퓨전,메인요리,쉬움,"['파스타 160g', '김치 50g']",60
냉라면,"['만두', '면류']",퓨전,메인요리,쉬움,"['라면 2개', '새우 8마리']",35
명란스파게티,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['스파게티 300g', '명란 120g']",20
불고기꽃만두,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['밀가루 1컵', '쇠고기 200g']",30
비빔만두,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['냉동만두 10개', '콩나물 30g']",30
소스를곁들인라면구이,"['만두', '면류']",퓨전,메인요리,매우 쉬움,['라면 1개'],30
치즈볶음라면,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['라면 1개', '치즈(피자치즈) 적당량']",20
콩국냉파스타,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['콩국 1컵', '스파게티 200g', '후춧가루 약간']",30
퓨전만두,"['만두', '면류']",퓨전,메인요리,매우 쉬움,"['만두피 10장', '쇠고기(불고기) 300g']",30
커리,"['찌개', '전골', '스튜']",퓨전,메인요리,쉬움,"['감자 1개', '당근 1/3개', '양파 1/2개']",60
김치오꼬노미야끼,['부침'],퓨전,메인요리,매우 쉬움,"['잔새우 5마리', '갑오징어 20g', '굴(생것) 20g', '홍합 20g', '돼지고기(삼겹살) 30g']",30
돼지고기치즈지짐,['부침'],퓨전,메인요리,쉬움,['돼지고기(뒷다리살) 300g'],60
두부스테이크,['부침'],퓨전,메인요리,매우 쉬움,"['다진쇠고기 90g', '두부 1모']",60
산적치즈구이,['부침'],퓨전,메인요리,매우 쉬움,"['어묵 50g', '햄 50g', '게맛살 50g', '치즈(슬라이스) 4장']",30
연근카레전,['부침'],퓨전,메인요리,매우 쉬움,['연근 20cm'],20
치즈알쌈,['부침'],퓨전,메인요리,매우 쉬움,"['계란 8개', '치즈(피자) 40g']",30
치즈파전,['부침'],퓨전,메인요리,매우 쉬움,"['실파 100g', '새우(칵테일) 10g', '홍합살 10g', '밀가루 1/4컵', '치즈 적당량']",30
치즈피망전,['부침'],퓨전,메인요리,쉬움,"['피망 4개', '모짜렐라치즈 적당량']",60
꼬마버거,"['샌드위치', '햄버거']",퓨전,메인요리,매우 쉬움,"['돼지고기 20g', '모닝빵 4개', '샐러드 약간']",30
밥샌드위치,"['샌드위치', '햄버거']",퓨전,메인요리,쉬움,['밥(찬것) 3공기'],60
새우라이스버거,"['샌드위치', '햄버거']",퓨전,메인요리,쉬움,"['[라이스버거] 찬밥 2공기', '계란노른자 1개', '빵가루 20g', '소금 약간', '후춧가루 약간', '[새우패티] 새우살 100g', '양파 1/3개', '샐러리 1대', '빵가루 30g', '소금 약간', '후춧가루 약간']",60
감자피자구이,['피자'],퓨전,메인요리,매우 쉬움,"['감자 4개', '오징어 1마리']",30
김치계란피자,['피자'],퓨전,메인요리,매우 쉬움,"['김치 100g', '계란 2개']",30
김치치킨도리아,['볶음'],퓨전,메인요리,쉬움,"['닭고기(살) 50g', '밥 1공기']",60
대파 파프리카굴소스볶음,['볶음'],퓨전,메인요리,매우 쉬움,"['대파 2대', '노란파프리카 1개', '주황파프리카 1개']",20
돈육불고기,['볶음'],퓨전,메인요리,매우 쉬움,['돼지고기(목살) 600g'],60
두부케첩볶음,['볶음'],퓨전,메인요리,매우 쉬움,"['두부 1/4모', '비엔나소시지 8개', '표고버섯(마른 것) 1장']",30
삶은무해산물볶음,['볶음'],퓨전,메인요리,매우 쉬움,"['새우살 50g', '조갯살 50g', '오징어 50g', '무 1개']",20
엔다이브 위의 쇠고기볶음,['볶음'],퓨전,메인요리,매우 쉬움,"['쇠고기 50g', '앤다이브 6잎']",30
피자떡볶이,['볶음'],퓨전,메인요리,매우 쉬움,"['햄 100g', '떡볶이떡 150g']",30
해물채소볶음,['볶음'],퓨전,메인요리,매우 쉬움,"['새우 30g', '바지락 50g', '파프리카 1/2개', '청경채 2개']",30
햄마늘볶음,['볶음'],퓨전,메인요리,쉬움,"['햄 50g', '마늘 5톨']",60
계란말이주먹밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['밥 2공기', '계란 4개']",63
골뱅이덮밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['밥 4공기', '골뱅이 200g']",54
굴무밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['굴 100g', '쌀 2컵', '무 150g', '물 약간', '다시마(5cm x 5cm) 1장']",83
김밥계란말이,"['밥', '죽', '스프']",한식,메인요리,보통,"['밥 2공기', '햄 100g', '김 6장']",53
김치쌈밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['밥 2공기', '김칫잎 6장']",50
김치주먹밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['김치 1/2포기', '밥 2공기', '다진쇠고기(사태) 100g']",58
김치채소쌈,"['밥', '죽', '스프']",한식,반찬,어려움,"['김치잎 5장', '깻잎 4장', '양배추 4장', '근대잎 4장', '밥 2공기']",61
나물비빔밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['쌀 4컵', '안심 200g', '콩나물 20g', '청포묵 1/2모', '미나리 20g', '숙주 20g', '도라지 20g', '고사리 20g', '계란 1개']",81
닭고기콩나물덮밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['닭 한마리', '콩나물 300g', '밥 4공기']",57
대나무쌈밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['닭 20g', '찹쌀 30g', '쌀 90g', '대나무잎 4장']",62
모듬쌈밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['케일 약간', '치커리 약간', '청경채 약간', '겨자잎 약간', '밥 2공기']",66
별미밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['쇠고기(우둔) 150g', '콩나물 100g', '밥 4공기']",54
북어국밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['밥 3공기', '북어 2마리']",68
삼색주먹밥,"['밥', '죽', '스프']",한식,메인요리,보통,['밥 2공기'],40
상추겉절이비빔밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['밥 4공기', '상추 3잎']",55
열무비빔밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['밥 한공기', '열무김치 300g', '쇠고기 150g']",60
영양돌솥밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['멥쌀 2컵', '찹쌀 1/2컵']",58
영양채소밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['쌀 1컵', '밤 2개', '고구마 1/3개', '은행 6알', '대추 4알']",58
오곡밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['멥쌀 1컵', '찹쌀 2컵']",54
오징어덮밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['밥 2공기', '오징어 1마리']",54
자라죽,"['밥', '죽', '스프']",한식,메인요리,보통,"['흰쌀 200g', '자라 1마리']",45
잣죽,"['밥', '죽', '스프']",한식,메인요리,보통,"['불린쌀 1컵', '잣 1/2컵']",48
찬밥맛탕,"['밥', '죽', '스프']",한식,메인요리,보통,"['찬밥 1공기', '옥수수(통조림) 200g']",49
찰밥,"['밥', '죽', '스프']",한식,메인요리,보통,"['찹쌀 2컵', '팥 2/3컵']",44
충무김밥,"['밥', '죽', '스프']",한식,간식,어려움,"['김 2장', '오징어 1/2마리', '무 30g', '고춧가루 3큰술', '밥 2공기']",78
콩나물버섯덮밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['밥 2인분', '콩나물 100g', '쇠고기 50g', '느타리버섯 50g']",66
콩나물비빔밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['밥 60g', '보리 10g', '콩나물 40g', '오이 20g', '다진쇠고기 30g']",60
해물볶음밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['밥 1공기', '오징어 1/4마리', '새우 20g', '라유(중국식 고춧기름) 약간', '홍고추 1개']",65
해물볶음밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['새우 30g', '오징어 50g', '바지락 30g', '밥 2공기']",62
호박죽,"['밥', '죽', '스프']",한식,메인요리,보통,"['청동호박 1/2개', '찹쌀 2컵']",45
흑미영양솥밥,"['밥', '죽', '스프']",한식,메인요리,어려움,"['멥쌀 1컵', '찹쌀 1/2컵', '흑미 2큰술']",67
흑임자죽,"['밥', '죽', '스프']",한식,메인요리,보통,"['쌀 1컵', '흑임자 1/2컵']",53
개장국,['국'],한식,메인요리,어려움,"['개고기 800g', '된장 2큰술', '토란(줄기) 200g']",62
곰탕,['국'],한식,메인요리,어려움,"['쇠고기(양지) 400g', '양 600g', '무 400g']",62
냉면육수,['국'],한식,반찬,보통,['쇠고기(양지머리) 400g'],54
대구지리,['국'],한식,메인요리,보통,['대구 1마리'],55
대구탕,['국'],한식,메인요리,어려움,"['대구 1/2마리', '무 30g', '콩나물 25g', '홍고추 1개', '청고추 1개', '미나리 20g']",69
맑은떡국,['국'],한식,메인요리,보통,['떡국떡 2컵'],55
미역국,['국'],한식,메인요리,보통,['불린미역 4컵'],39
미역완자국,['국'],한식,메인요리,보통,"['불린미역 200g', '찹쌀가루 1컵']",48
사골우거지탕,['국'],한식,메인요리,보통,"['사골 300g', '쇠고기(사태) 200g', '우거지 200g', '대파 1뿌리']",53
사골탕,['국'],한식,메인요리,어려움,"['사골 500g', '쇠고기(양지) 200g']",64
삼계탕,['국'],한식,메인요리,보통,['닭고기(영계) 2마리'],56
생태국,['국'],한식,메인요리,보통,['생태 1마리'],50
설렁탕,['국'],한식,메인요리,어려움,"['소(잡뼈) 300g', '사골 1개', '도가니 1개', '양지머리 600g']",64
쇠고기무국,['국'],한식,메인요리,어려움,"['쇠고기(양지) 200g', '무 200g']",60
어묵꼬치,['국'],한식,반찬,보통,"['무 50g', '어묵 100g']",48
육개장,['국'],한식,메인요리,보통,"['쇠고기(사태) 300g', '숙주 60g', '고사리 50g']",53
초교탕,['국'],한식,메인요리,어려움,['닭 1/2마리'],66
토란곰탕,['국'],한식,메인요리,보통,"['토란 300g', '쇠고기(사태) 200g', '무 200g']",53
홍합미역국,['국'],한식,메인요리,보통,"['미역 150g', '홍합 10개', '참기름 1큰술']",46
홍합탕,['국'],한식,메인요리,보통,"['홍합 400g', '대파 1/2뿌리', '홍고추 1개']",47
가자미조림,['조림'],한식,메인요리,보통,['가자미 4마리'],39
명태포조림,['조림'],한식,메인요리,보통,['명태 1마리'],41
붕어조림,['조림'],한식,메인요리,보통,"['붕어 2마리', '북어 1/2마리', '감자 1개']",56
사태장육,['조림'],한식,메인요리,보통,"['쇠고기(사태) 600g', '고추기름 1큰술']",54
생선조림,['조림'],한식,메인요리,보통,"['조기 2마리', '홍고추 1/2개']",46
쇠고기장조림,['조림'],한식,메인요리,보통,"['쇠고기(사태) 400g', '계란 4개']",57
어묵닭고기조림,['조림'],한식,메인요리,보통,"['어묵 2개', '닭고기(안심) 100g', '표고버섯 1장']",58
연근조림,['조림'],한식,반찬,보통,['연근 300g'],43
장똑똑이,['조림'],한식,반찬,보통,['쇠고기(우둔살) 300g'],47
콩자반,['조림'],한식,반찬,보통,['콩 2컵'],52
호박선,['조림'],한식,반찬,어려움,"['애호박 1개', '쇠고기(홍두깨) 50g', '계란 1개', '당근 1/4개', '표고버섯 2개']",78
홍합초,['조림'],한식,반찬,보통,['홍합 600g'],46
갈비구이,['구이'],한식,메인요리,보통,['갈비 1.2kg'],49
고추장오징어순대구이,['구이'],한식,메인요리,어려움,['오징어 1마리'],62
꽁치깻잎말이구이,['구이'],한식,메인요리,보통,"['꽁치 2마리', '깻잎 8장']",55
너비아니구이,['구이'],한식,메인요리,어려움,['쇠고기(안심) 1200g'],61
더덕구이,['구이'],한식,메인요리,보통,['더덕 200g'],41
등심구이,['구이'],한식,메인요리,보통,['쇠고기(등심) 600g'],46
떡갈비구이,['구이'],한식,메인요리,보통,['쇠고기(갈비) 300g'],39
떡산적,['구이'],한식,메인요리,보통,"['가래떡 1가래', '쇠고기(우둔살) 150g', '실파 50g']",56
불고기찹쌀구이,['구이'],한식,메인요리,보통,"['쇠고기 200g', '찹쌀가루 1/2컵', '겨자 2큰술', '식초 2큰술', '설탕 2큰술']",56
새송이쌈장구이,['구이'],한식,메인요리,보통,['새송이버섯 4개'],50
서양식가자미구이와발사믹소스,['구이'],한식,메인요리,어려움,['가자미(냉동) 400g'],61
송이산적,['구이'],한식,메인요리,어려움,"['송이버섯 5장', '쇠고기 200g']",64
쇠고기떡말이,['구이'],한식,메인요리,보통,"['쇠고기(불고기) 200g', '떡볶이떡 10개']",51
쇠고기채소편채,['구이'],한식,메인요리,보통,['쇠고기(홍두깨살) 200g'],58
오징어산적,['구이'],한식,메인요리,보통,"['갑오징어 3마리', '피망 4개']",43
완자꼬치,['구이'],한식,메인요리,어려움,"['새송이버섯 2개', '두부 1/2모', '쇠고기(다진것) 200g', '간장 4큰술']",63
제육불고기,['구이'],한식,메인요리,어려움,"['돼지고기 600g', '고춧가루 1큰술']",70
조개관자꼬치구이,['구이'],한식,메인요리,보통,['조개관자 8개'],36
조기양념장구이,['구이'],한식,메인요리,보통,['조기 2마리'],38
향신양념갈비구이,['구이'],한식,메인요리,보통,['갈비살 600g'],55
홍합꼬치구이,['구이'],한식,메인요리,보통,['홍합 100g'],44
깐쇼자라,"['튀김', '커틀릿']",한식,메인요리,보통,['자라살 1마리'],53
다시마튀각,"['튀김', '커틀릿']",한식,반찬,보통,['다시마(40cm) 1장'],43
닭강정,"['튀김', '커틀릿']",한식,간식,보통,['닭 1마리'],39
닭안심삼색튀김,"['튀김', '커틀릿']",한식,메인요리,어려움,['닭(안심) 200g'],65
돼지고기김치롤튀김,"['튀김', '커틀릿']",한식,메인요리,어려움,"['돼지고기(안심) 400g', '김치(잎이넓은것) 1/4포기', '밥 1공기', '샐러리 2대', '쇠고기(안심) 50g']",81
두부소박이,"['튀김', '커틀릿']",한식,메인요리,보통,"['두부 1모', '표고버섯(말린 것) 4개']",57
메기강정,"['튀김', '커틀릿']",한식,메인요리,보통,['메기 1마리'],49
양념치킨,"['튀김', '커틀릿']",한식,메인요리,어려움,['닭(600g) 1마리'],66
향신양념장어튀김조림,"['튀김', '커틀릿']",한식,메인요리,보통,['장어 1마리'],48
갈비찜,['찜'],한식,메인요리,어려움,"['쇠고기(갈비) 600g', '무 1/2개', '당근 1/2개', '표고버섯 1장', '밤 4개']",74
계란유부찜,['찜'],한식,메인요리,보통,"['유부 4장', '계란 4개']",43
김치두부쌈,['찜'],한식,반찬,보통,"['신김치 2포기', '두부 1모', '돼지고기(보쌈용) 600g']",51
김치제육보쌈,['찜'],한식,반찬,어려움,"['배추 1/2포기', '돼지고기 600g']",68
꽃게찜,['찜'],한식,메인요리,보통,"['꽃게 3마리', '쇠고기 100g']",57
꽈리고추밀가루찜,['찜'],한식,메인요리,보통,['꽈리고추 30개'],39
닭매운찜,['찜'],한식,메인요리,보통,['닭(중간것) 1/2마리'],57
돼지갈비찜,['찜'],한식,메인요리,어려움,"['갈비(갈비) 1.8Kg', '양파 2개', '감자 2개', '당근 1개', '무 1/4개']",67
두부선,['찜'],한식,반찬,보통,"['두부 300g', '쇠고기 40g']",47
두부알찜,['찜'],한식,메인요리,보통,"['두부 1/2모', '계란 3개']",49
미더덕찜,['찜'],한식,메인요리,보통,"['미더덕 400g', '콩나물 200g']",55
북어양념찜,['찜'],한식,메인요리,보통,['북어 1마리'],38
색편육,['찜'],한식,메인요리,어려움,"['쇠고기(사태) 200g', '당근 30g', '오이 70g']",62
시나몬돼지고기편,['찜'],한식,메인요리,보통,['돼지고기(안심) 800g'],57
아귀찜,['찜'],한식,메인요리,어려움,"['아귀 500g', '미더덕 120g', '콩나물 300g']",67
양배추말이찜,['찜'],한식,메인요리,어려움,"['양배추잎 8장', '쇠고기 300g', '밤 8개', '양파 1/2개']",69
연어된장찜,['찜'],한식,메인요리,보통,"['연어 400g', '된장 3큰술']",51
오색대하찜,['찜'],한식,메인요리,보통,['대하 4마리'],49
오징어순대,['찜'],한식,메인요리,어려움,"['오징어(350g) 2마리', '쇠고기(우둔) 70g', '두부 50g', '당면 30g']",81
오징어순대,['찜'],한식,메인요리,어려움,['오징어 2마리'],62
유부계란찜,['찜'],한식,메인요리,보통,"['유부 10장', '계란 4개']",49
장어두부,['찜'],한식,메인요리,보통,"['장어 1마리', '두부 1모']",51
제육보쌈,['찜'],한식,메인요리,어려움,"['돼기고기 600g', '새우젓 2큰술', '무 200g', '굴 50g']",78
제육보쌈,['찜'],한식,메인요리,보통,['돼지고기(안심) 600g'],43
코다리찜,['찜'],한식,메인요리,어려움,"['코다리 2마리', '실파 2뿌리']",64
토란닭고기찜,['찜'],한식,메인요리,보통,"['토란탕 2컵', '닭고기 200g']",47
한방닭찜,['찜'],한식,메인요리,보통,['닭(토종) 1마리'],49
홍어찜,['찜'],한식,메인요리,보통,['홍어 1마리'],49
화전갈비찜,['찜'],한식,메인요리,보통,"['생갈비 400g', '다진양파(다진것) 1큰술', '다진파(다진것) 1큰술']",59
건포도돈족냉채,"['나물', '생채', '샐러드']",한식,메인요리,어려움,['돈족(족발) 200g'],63
닭고기수삼샐러드,"['나물', '생채', '샐러드']",한식,반찬,어려움,"['양상추 50g', '닭고기(가슴살) 100g', '수삼 1뿌리']",68
두부다시마말이,"['나물', '생채', '샐러드']",한식,반찬,보통,['다시마(10cm x 20cm) 1장'],51
무구절판,"['나물', '생채', '샐러드']",한식,반찬,어려움,"['무 1개', '쇠고기(우둔) 100g', '표고버섯 6개']",81
미나리강회,"['나물', '생채', '샐러드']",한식,반찬,보통,"['미나리 2단', '쇠고기(안심) 100g', '계란 2개']",54
불고기샐러드,"['나물', '생채', '샐러드']",한식,반찬,보통,['쇠고기(불고기) 160g'],55
삼색밀쌈,"['나물', '생채', '샐러드']",한식,반찬,어려움,"['밀가루 1컵', '치자 2개', '시금치 20g']",66
생굴채소무침,"['나물', '생채', '샐러드']",한식,반찬,어려움,"['굴 300g', '배추(속대) 100g']",62
씀바귀나물,"['나물', '생채', '샐러드']",한식,반찬,보통,['씀바귀 200g'],51
오징어강회,"['나물', '생채', '샐러드']",한식,메인요리,보통,['오징어 1마리'],41
재첩무침,"['나물', '생채', '샐러드']",한식,반찬,보통,['재첩 300g'],52
제육겨자쌈,"['나물', '생채', '샐러드']",한식,메인요리,보통,['돼지고기(안심) 600g'],45
콩나물잡채,"['나물', '생채', '샐러드']",한식,반찬,어려움,"['콩나물 400g', '쇠고기 100g', '표고버섯 4장']",64
